range,row,vigor_2020,anthracnose_2020,anthracnose_2021,leaf_hgt_2020
11,6,4.625,2,1.875,162.25
11,7,4.625,2,1.25,140.125
11,8,5,1.75,1.875,127
11,9,4.625,2.125,2.5,102.375
11,10,4.875,2,1.875,157.125
11,11,4.75,2,2.375,113.375
11,12,5,2,2,134.125
11,13,4.875,2,1.875,171.5
11,14,5,2.125,1.875,136.5
11,15,4.75,1.875,2.375,130.625
11,16,5,2,2.5,175
11,17,5,1.875,1.625,153.625
11,18,5,2,2.75,140.25
11,19,5,2,2.125,161.125
11,20,5,2,1.25,162.125
11,21,4.5,2.5,2,170
11,22,5,2.375,2,169.25
11,23,5,2.125,2,171.875
11,24,5,2,2.5,131
11,25,5,2,2.75,138
11,26,4.75,2.125,1.75,137.25
11,27,5,1.75,2.25,141.375
11,28,4.875,1.875,1.75,163.75
11,29,5,2,1.5,157.375
11,30,4.5,1.625,1.5,169.875
11,31,5,2,1.125,152.5
11,32,4.75,2.25,2.125,169.25
11,33,4.75,2,1.375,148
11,34,5,2,2.25,143.75
11,35,4.25,2,2,104.75
11,36,5,1.875,2,157.875
11,37,4.625,2.125,1.875,143.375
11,38,4.625,1.875,1.75,158.625
11,39,5,2,2.25,124.875
11,40,4.875,2.125,1.5,125.625
11,41,5,2,1.75,156.75
11,42,4.428571428571429,2,2.142857142857143,113.57142857142857
11,43,5,2,1.875,160
11,44,4.875,2,2.125,122.5
11,45,5,2,2.5,177.625
11,46,5,2,2,168.25
11,47,4.875,2,1.125,147.75
11,48,4.875,2,1.75,116.25
11,49,4.75,1.875,1.5,152.5
11,50,5,2,2.25,135.75
11,51,5,2,2.125,165.375
11,52,5,2,2.125,166.5
11,53,4.75,2.125,2.875,115.25
11,54,5,2,2.375,166.875
11,55,4.75,2.125,2.25,122
11,56,4.75,2,1.625,150.875
11,57,4.875,2.125,2,172.25
11,58,5,2,1.5,128.75
11,59,4.625,2,1.25,153
11,60,4.75,2.125,2,145.25
11,61,5,2,2.375,146.625
12,1,4.125,2.25,1.75,111.125
12,2,4.25,2.25,1.625,146.875
12,3,4.625,2.375,1.625,135.5
12,4,4.875,2,2,123.125
12,5,4.625,2.125,1.625,150.125
12,6,5,2.125,2.875,132.875
12,7,4.875,1.875,1.875,145.5
12,8,5,1.875,1.625,163
12,9,4.75,2,2.5,101.375
12,10,5,2,1.25,150.25
12,11,4.375,2.625,2.5,152.25
12,12,4.875,2.125,2,165.625
12,13,5,2.25,1.75,162.625
12,14,5,2.125,1.75,159.5
12,15,5,2,2.375,133.625
12,16,5,2,1.375,140
12,17,4.5,2,2.875,122.5
12,18,4.25,2.5,2.375,108.5
12,19,4.25,2.125,1.25,128.375
12,20,4.75,2.125,2,163.875
12,21,4.875,2,1.375,128.625
12,22,4.375,2.125,1.625,105.5
12,23,5,2,1.875,164.125
12,24,4.875,2,1.875,124.625
12,25,4.875,2.125,1.5,138.875
12,26,4.5,1.875,2.125,158.375
12,27,4.75,2,1.375,139.875
12,28,4.75,2,1.875,153.875
12,29,4.875,1.75,1.875,107.25
12,30,5,2.25,2.125,154.875
12,31,4.333333333333333,2,1.5,114.57142857142857
12,32,5,2,1.125,145.875
12,33,4.875,2,2.5,118.375
12,34,4.75,2.125,2.125,103.125
12,35,4.833333333333333,2,1.1666666666666667,161.16666666666666
12,36,5,2,2.25,128.75
12,37,5,2,1.625,162
12,38,5,1.5,1.25,149
12,39,4.875,2,1.125,138.75
12,40,5,2.125,2,150.75
12,41,5,2,1.875,177.5
12,42,5,2,1.125,154.375
12,43,5,2,2.375,116
12,44,5,2,2.375,113.5
12,45,5,2,1.75,130.375
12,46,5,2,1.625,115.375
12,47,5,2,1.625,149.875
12,48,5,2,2.375,127.25
12,49,5,2,2,165.375
12,50,5,2.25,2.625,139.875
12,51,4.625,2,1.625,155
12,52,5,2,1.625,168.25
12,53,5,2,1.875,171.25
12,54,5,2,1.875,150.125
12,55,4.75,2.125,1.75,153
12,56,5,2,1.875,122.375
12,57,5,2,1.375,161.5
12,58,5,2,2.375,124.125
12,59,5,2,2.25,116.625
12,60,5,2,1.625,131.25
12,61,5,2,1.5,167.875
