blk,old_plant_no,ecotype,rep,row,rng,hs
MLB,41,LL,2,47,6,176
MUB,31,UL,3,47,7,76
MLB,23,LL,3,47,8,158
PLB,17,LL,3,47,9,107
MUB,35,UL,4,47,10,80
MLB,9,LL,4,47,11,144
PLB,22,LL,4,47,12,112
MLB,11,LL,1,48,1,146
MLB,20,LL,1,48,2,155
MLB,8,LL,1,48,3,143
PLB,17,LL,2,48,4,107
PUB,4,UL,2,48,5,4
PUB,33,UL,2,48,6,33
PUB,19,UL,3,48,7,19
PLB,44,LL,3,48,8,134
MUB,33,UL,3,48,9,78
MUB,39,UL,4,48,10,84
PUB,24,UL,4,48,11,24
PUB,9,UL,4,48,12,9
MUB,7,UL,1,49,1,52
PLB,12,LL,1,49,2,102
PLB,34,LL,1,49,3,124
PUB,21,UL,2,49,4,21
PUB,27,UL,2,49,5,27
PUB,5,UL,2,49,6,5
MLB,32,LL,3,49,7,167
PUB,20,UL,3,49,8,20
MLB,30,LL,3,49,9,165
PLB,9,LL,4,49,10,99
MLB,13,LL,4,49,11,148
PLB,28,LL,4,49,12,118
PLB,2,LL,1,50,1,92
MUB,15,UL,1,50,2,60
MLB,39,LL,1,50,3,174
MLB,31,LL,2,50,4,166
PUB,30,UL,2,50,5,30
PLB,8,LL,2,50,6,98
MUB,34,UL,3,50,7,79
MLB,19,LL,3,50,8,154
MUB,42,UL,3,50,9,87
MLB,NA,LL,4,50,10,MLB LL Mixture
PUB,40,UL,4,50,11,40
PUB,39,UL,4,50,12,39
PUB,28,UL,1,51,1,28
MUB,40,UL,1,51,2,85
PLB,1,LL,1,51,3,91
PUB,11,UL,2,51,4,11
MLB,16,LL,2,51,5,151
MLB,9,LL,2,51,6,144
PUB,15,UL,3,51,7,15
MLB,12,LL,3,51,8,147
PLB,9,LL,3,51,9,99
MLB,4,LL,4,51,10,139
PLB,2,LL,4,51,11,92
PLB,34,LL,4,51,12,124
PLB,7,LL,1,52,1,97
MLB,25,LL,1,52,2,160
PLB,30,LL,1,52,3,120
PLB,18,LL,2,52,4,108
PUB,12,UL,2,52,5,12
PLB,21,LL,2,52,6,111
PLB,37,LL,3,52,7,127
MUB,5,UL,3,52,8,50
PLB,4,LL,3,52,9,94
MUB,5,UL,4,52,10,50
MLB,20,LL,4,52,11,155
MLB,24,LL,4,52,12,159
MUB,39,UL,1,53,1,84
MLB,13,LL,1,53,2,148
MLB,27,LL,1,53,3,162
PLB,37,LL,2,53,4,127
PUB,31,UL,2,53,5,31
MUB,40,UL,2,53,6,85
MLB,43,LL,3,53,7,178
MLB,38,LL,3,53,8,173
MUB,4,UL,3,53,9,49
PLB,43,LL,4,53,10,133
PUB,15,UL,4,53,11,15
MUB,34,UL,4,53,12,79
PUB,26,UL,1,54,1,26
PLB,41,LL,1,54,2,131
MLB,30,LL,1,54,3,165
PUB,6,UL,2,54,4,6
MUB,4,UL,2,54,5,49
MUB,37,UL,2,54,6,82
PLB,24,LL,3,54,7,114
NA,NA,LL,3,54,8,CHECK_Kan
MUB,35,UL,3,54,9,80
MLB,14,LL,4,54,10,149
PLB,27,LL,4,54,11,117
MLB,6,LL,4,54,12,141
MUB,38,UL,1,55,1,83
MUB,34,UL,1,55,2,79
PUB,20,UL,1,55,3,20
PUB,43,UL,2,55,4,43
PLB,20,LL,2,55,5,110
PLB,3,LL,2,55,6,93
PUB,25,UL,3,55,7,25
NA,NA,UL,3,55,8,CHECK_CiR
MLB,31,LL,3,55,9,166
PLB,29,LL,4,55,10,119
MUB,45,UL,4,55,11,90
PLB,7,LL,4,55,12,97
PLB,37,LL,1,56,1,127
MLB,15,LL,1,56,2,150
MUB,22,UL,1,56,3,67
MLB,8,LL,2,56,4,143
PUB,38,UL,2,56,5,38
PLB,38,LL,2,56,6,128
MUB,14,UL,3,56,7,59
PLB,30,LL,3,56,8,120
PUB,18,UL,3,56,9,18
PLB,12,LL,4,56,10,102
MLB,30,LL,4,56,11,165
PUB,27,UL,4,56,12,27
PLB,43,LL,1,57,1,133
PLB,8,LL,1,57,2,98
MUB,20,UL,1,57,3,65
MUB,3,UL,2,57,4,48
PLB,36,LL,2,57,5,126
PLB,24,LL,2,57,6,114
PUB,27,UL,3,57,7,27
PUB,34,UL,3,57,8,34
PUB,21,UL,3,57,9,21
PLB,39,LL,4,57,10,129
PLB,45,LL,4,57,11,135
MLB,38,LL,4,57,12,173
MLB,4,LL,1,58,1,139
MLB,35,LL,1,58,2,170
PUB,2,UL,1,58,3,2
MLB,39,LL,2,58,4,174
PLB,29,LL,2,58,5,119
MLB,4,LL,2,58,6,139
PLB,10,LL,3,58,7,100
PLB,11,LL,3,58,8,101
MLB,27,LL,3,58,9,162
PUB,2,UL,4,58,10,2
PUB,42,UL,4,58,11,42
PUB,45,UL,4,58,12,45
PUB,3,UL,1,59,1,3
PUB,42,UL,1,59,2,42
PUB,30,UL,1,59,3,30
MUB,28,UL,2,59,4,73
NA,NA,LL,2,59,5,CHECK_Kan
PLB,27,LL,2,59,6,117
PUB,41,UL,3,59,7,41
PLB,34,LL,3,59,8,124
PLB,14,LL,3,59,9,104
PUB,44,UL,4,59,10,44
MLB,23,LL,4,59,11,158
PUB,30,UL,4,59,12,30
MUB,43,UL,1,60,1,88
MLB,29,LL,1,60,2,164
PUB,15,UL,1,60,3,15
MLB,14,LL,2,60,4,149
MLB,42,LL,2,60,5,177
MUB,43,UL,2,60,6,88
PLB,40,LL,3,60,7,130
PUB,33,UL,3,60,8,33
PUB,37,UL,3,60,9,37
PLB,33,LL,4,60,10,123
PLB,38,LL,4,60,11,128
MUB,15,UL,4,60,12,60
PUB,44,UL,1,61,1,44
MLB,23,LL,1,61,2,158
PLB,23,LL,1,61,3,113
PUB,34,UL,2,61,4,34
MLB,15,LL,2,61,5,150
MLB,43,LL,2,61,6,178
PUB,6,UL,3,61,7,6
PUB,13,UL,3,61,8,13
MUB,23,UL,3,61,9,68
PUB,28,UL,4,61,10,28
PLB,15,LL,4,61,11,105
MLB,11,LL,4,61,12,146
